rating,text,date,reviewer_role
5,"Absolutely love Amazon Prime. Delivery is always on time and the return process is seamless. I've been a member for 6 years and it keeps getting better. The app is intuitive and I can track everything in real time.",2026-03-15,frequent_shopper
1,"Search results are completely dominated by ads now. I have to scroll through 10 sponsored items before I see anything organic. The algorithm used to surface relevant products — now it just surfaces whoever paid the most. Deeply disappointed.",2026-03-20,frequent_shopper
2,"Bought a laptop from a third-party seller on Amazon. It arrived with a cracked screen. Contacted the seller — no response for a week. Had to open an A-to-Z claim. Took 12 days to resolve. Amazon needs to vet their marketplace sellers better.",2026-02-28,occasional_shopper
4,"Generally great experience. My only gripe is the review system. It's clearly gamed. I can spot fake review clusters easily now — same date, same generic phrasing. Amazon knows this is happening. Why don't they fix it?",2026-03-10,frequent_shopper
1,"The returns process used to be easy. Now it depends entirely on which seller you bought from. I returned an item 3 weeks ago — still waiting for the refund. Support gave me 3 different answers. Horrible.",2026-03-22,occasional_shopper
3,"Mixed feelings. Delivery is excellent. But product discovery is getting worse. Too many low-quality products from unknown brands with inflated ratings. I spend more time researching products than I used to. That defeats the purpose.",2026-03-05,frequent_shopper
5,"Amazon Business is a game changer for our company. Bulk pricing, VAT invoices, multi-user accounts. Saves us hours every month on procurement. The approval workflow took some setup but works well once configured.",2026-02-14,business_buyer
2,"Subscribe & Save changed my delivery schedule without telling me. I only noticed when I got charged for something I didn't expect. The notification was buried in my emails. Need much clearer communication around schedule changes.",2026-03-18,frequent_shopper
1,"Received a counterfeit item. Packaging looked almost identical to the real brand. Only realised when I compared it side by side. Reported it — Amazon removed the listing but took no responsibility. Unacceptable for a platform this size.",2026-03-25,frequent_shopper
4,"Alexa integration with shopping is underrated. I can reorder household staples by voice. Works 90% of the time. The 10% failure rate is annoying but I've gotten used to it. Would rate 5 stars if voice ordering was more reliable.",2026-01-30,tech_enthusiast
3,"Prime Video is decent but the UI is confusing. I keep getting recommended things I've already watched. The 'continue watching' list is a mess. On the shopping side — good. On the streaming side — needs work.",2026-03-12,frequent_shopper
1,"Customer service quality has dropped significantly. Agents seem to be following a script and have no ability to actually resolve issues. Was told to 'wait 3-5 business days' four times in a row for different problems. Escalation is almost impossible.",2026-03-19,frequent_shopper
5,"The Subscribe & Save feature saves me so much time for regular household items. I love that I can adjust quantities easily. Delivery is always reliable. The discounts add up over time — genuinely saves money.",2026-02-20,frequent_shopper
2,"Filter functionality on mobile is poor. If I set a price range, half the results are still outside that range. The 'Prime only' filter sometimes doesn't work. Basic stuff that should just work.",2026-03-08,occasional_shopper
