customer_author,customer_text,company_author,company_reply,customer_clean,company_clean,thread_text
115910,@115911 Sweet! I’m still paying on my 7plus but I have a jump. Any way to find out what to do in my situation and how much money I need to put down?,TMobileHelp,"@115910 Hey, Trevor! Send us a DM, and we'll take a closer look! *KellenF",Sweet! I’m still paying on my 7plus but I have a jump. Any way to find out what to do in my situation and how much money I need to put down?,"Hey, Trevor! Send us a DM, and we'll take a closer look! *KellenF","Sweet! I’m still paying on my 7plus but I have a jump. Any way to find out what to do in my situation and how much money I need to put down? | Hey, Trevor! Send us a DM, and we'll take a closer look! *KellenF"
115912,"@115913 @115911 By 'upfront' I hope you don't mean 'upfront fees""!  DM sent!",TMobileHelp,@115912 @115913 Thanks for getting that DM sent over - I've got it and am replying now. https://t.co/93XwcSKFIy *RayButler,"By 'upfront' I hope you don't mean 'upfront fees""! DM sent!",Thanks for getting that DM sent over - I've got it and am replying now. *RayButler,"By 'upfront' I hope you don't mean 'upfront fees""! DM sent! | Thanks for getting that DM sent over - I've got it and am replying now. *RayButler"
115912,@115913 @115911 just called in to switch from AT&amp;T. They wanted $75 to switch 3 phones! I said no way! Inconsistent messaging - shame!,TMobileHelp,"@115912 @115913 We always want to be upfront and honest with you, David. Please send a DM our way. https://t.co/lH0SH5fy2m *MikeRice",just called in to switch from AT&amp;T. They wanted $75 to switch 3 phones! I said no way! Inconsistent messaging - shame!,"We always want to be upfront and honest with you, David. Please send a DM our way. *MikeRice","just called in to switch from AT&amp;T. They wanted $75 to switch 3 phones! I said no way! Inconsistent messaging - shame! | We always want to be upfront and honest with you, David. Please send a DM our way. *MikeRice"
115914,@TMobileHelp trying to redeem a free tuesday code and its not letting me telling me theres an error can i get help with this?,TMobileHelp,@115914 Yay for T-Mobile Tuesdays- lets's get you taken care of! Send a DM my way: https://t.co/jGtdfLsVbg *ErikaHoleman,trying to redeem a free tuesday code and its not letting me telling me theres an error can i get help with this?,Yay for T-Mobile Tuesdays- lets's get you taken care of! Send a DM my way: *ErikaHoleman,trying to redeem a free tuesday code and its not letting me telling me theres an error can i get help with this? | Yay for T-Mobile Tuesdays- lets's get you taken care of! Send a DM my way: *ErikaHoleman
115915,T-Mobile So Bs My Internet Stop Working For 3 Hours https://t.co/YISXwAHace,TMobileHelp,"@115915 Well, we'd be happy to take a look at that and see what's going on, Jenny. DM us, we're here to keep you connected. *JoanO",T-Mobile So Bs My Internet Stop Working For 3 Hours,"Well, we'd be happy to take a look at that and see what's going on, Jenny. DM us, we're here to keep you connected. *JoanO","T-Mobile So Bs My Internet Stop Working For 3 Hours | Well, we'd be happy to take a look at that and see what's going on, Jenny. DM us, we're here to keep you connected. *JoanO"
115916,No. That opportunity has passed. Bad customer experience @115911 &amp; @343   Not going back ever again. #FAIL https://t.co/05pINkDFGd,TMobileHelp,@115916 Hey we are here and we want to help! If you have any questions feel free to shoot us a DM! *KatGrisham,No. That opportunity has passed. Bad customer experience &amp; Not going back ever again.,Hey we are here and we want to help! If you have any questions feel free to shoot us a DM! *KatGrisham,No. That opportunity has passed. Bad customer experience &amp; Not going back ever again. | Hey we are here and we want to help! If you have any questions feel free to shoot us a DM! *KatGrisham
115917,@TMobileHelp @115918 OK maybe my problem too let me try that resizing.,TMobileHelp,@115917 We want to help you with this great #TMobileTuesday deal! Shoot me a DM here https://t.co/jAb1JkOMRy  *AngieShaw,OK maybe my problem too let me try that resizing.,We want to help you with this great deal! Shoot me a DM here *AngieShaw,OK maybe my problem too let me try that resizing. | We want to help you with this great deal! Shoot me a DM here *AngieShaw
115918,@TMobileHelp Got it. One of them resized to 4x4. So instead of alerting me it just wouldn't take the coupon code. I resized it and it worked. Thanks.,TMobileHelp,@115918 You are welcome and thanks for letting us know. If you need anything else we are here for you. #HappyTMobileTuesday *KennethStone,Got it. One of them resized to 4x4. So instead of alerting me it just wouldn't take the coupon code. I resized it and it worked. Thanks.,You are welcome and thanks for letting us know. If you need anything else we are here for you. *KennethStone,Got it. One of them resized to 4x4. So instead of alerting me it just wouldn't take the coupon code. I resized it and it worked. Thanks. | You are welcome and thanks for letting us know. If you need anything else we are here for you. *KennethStone
115918,@TMobileHelp @1247 The @10568 code is not working when applied at checkout. Can you please look into this? https://t.co/SJvM7AW24t,TMobileHelp,"@115918 We want this to work perfectly! Do you have at least 10 photos selected? If not, add another and try. DM w/ any questions! *ChrisBradstreet",The code is not working when applied at checkout. Can you please look into this?,"We want this to work perfectly! Do you have at least 10 photos selected? If not, add another and try. DM w/ any questions! *ChrisBradstreet","The code is not working when applied at checkout. Can you please look into this? | We want this to work perfectly! Do you have at least 10 photos selected? If not, add another and try. DM w/ any questions! *ChrisBradstreet"
115951,@115913 I'm a #TMobile customer getting the runaround from @115714 to unlock ported phones. Now my kids don't have phones 2nite. Help!,TMobileHelp,"@115951 @115913 We always want to keep you connected, Don. Please DM us; we'll explore every option. https://t.co/lH0SH5fy2m *MikeRice",I'm a customer getting the runaround from to unlock ported phones. Now my kids don't have phones 2nite. Help!,"We always want to keep you connected, Don. Please DM us; we'll explore every option. *MikeRice","I'm a customer getting the runaround from to unlock ported phones. Now my kids don't have phones 2nite. Help! | We always want to keep you connected, Don. Please DM us; we'll explore every option. *MikeRice"
