customer_author,customer_text,company_author,company_reply,customer_clean,company_clean,thread_text
115939,@hulu_support Getting to the lists of episodes.  It’s not difficult.  Just way more annoying.  Plus you can’t see as many choices on screen at once.,hulu_support,@115939 Apologies for the difficulties! That was definitely not our intention. We'll absolutely pass on your feedback to our developers.,Getting to the lists of episodes. It’s not difficult. Just way more annoying. Plus you can’t see as many choices on screen at once.,Apologies for the difficulties! That was definitely not our intention. We'll absolutely pass on your feedback to our developers.,Getting to the lists of episodes. It’s not difficult. Just way more annoying. Plus you can’t see as many choices on screen at once. | Apologies for the difficulties! That was definitely not our intention. We'll absolutely pass on your feedback to our developers.
115939,@hulu_support   @115940 my wife and I hate the new  interface.    Enjoy the content but getting their is a horrible experience,hulu_support,"@115939 Oh no! Any aspect about navigation that you find difficult? For now, the following guide may help: https://t.co/zS2PPOcsyE.",my wife and I hate the new interface. Enjoy the content but getting their is a horrible experience,"Oh no! Any aspect about navigation that you find difficult? For now, the following guide may help:","my wife and I hate the new interface. Enjoy the content but getting their is a horrible experience | Oh no! Any aspect about navigation that you find difficult? For now, the following guide may help:"
115941,@hulu_support Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do?,hulu_support,"@115941 Sorry for the delay and trouble, Melanie! So we can get our team on this with you, please call using: https://t.co/LkhXOWWq74.",Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do?,"Sorry for the delay and trouble, Melanie! So we can get our team on this with you, please call using:","Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do? | Sorry for the delay and trouble, Melanie! So we can get our team on this with you, please call using:"
115942,@hulu_support It’s not intuitive. Takes me too long to find the episode I want instead of the episode presented to me.,hulu_support,"@115942 If browsing from Home, press the option for more details &gt; go to the show page &gt; use the Episodes tab to browse/pick an ep.",It’s not intuitive. Takes me too long to find the episode I want instead of the episode presented to me.,"If browsing from Home, press the option for more details &gt; go to the show page &gt; use the Episodes tab to browse/pick an ep.","It’s not intuitive. Takes me too long to find the episode I want instead of the episode presented to me. | If browsing from Home, press the option for more details &gt; go to the show page &gt; use the Episodes tab to browse/pick an ep."
115942,@115944 @115940 Yep. Challenging. Frustrating. Things you don’t need when you’re just trying to watch Bob’s Burgers.,hulu_support,"@115942 We're sorry to hear this, Heather! Anything in particular about the new app that you find frustrating? We're here to help.",Yep. Challenging. Frustrating. Things you don’t need when you’re just trying to watch Bob’s Burgers.,"We're sorry to hear this, Heather! Anything in particular about the new app that you find frustrating? We're here to help.","Yep. Challenging. Frustrating. Things you don’t need when you’re just trying to watch Bob’s Burgers. | We're sorry to hear this, Heather! Anything in particular about the new app that you find frustrating? We're here to help."
115945,Love @115940 but lost home internet&amp; just learned can’t Mirror Hulu on iPad hdmi adapter. Wanted to get Hulu live. Guess I’ll have to cancel all of Hulu &amp; look at @115946 or something like that 😢 why #Hulu why???,hulu_support,"@115945 We'd hate to see you go! HDMI mirroring isn't supported at this time, but we'll be sure to share the interest in this w/our team",Love but lost home internet&amp; just learned can’t Mirror Hulu on iPad hdmi adapter. Wanted to get Hulu live. Guess I’ll have to cancel all of Hulu &amp; look at or something like that 😢 why why???,"We'd hate to see you go! HDMI mirroring isn't supported at this time, but we'll be sure to share the interest in this w/our team","Love but lost home internet&amp; just learned can’t Mirror Hulu on iPad hdmi adapter. Wanted to get Hulu live. Guess I’ll have to cancel all of Hulu &amp; look at or something like that 😢 why why??? | We'd hate to see you go! HDMI mirroring isn't supported at this time, but we'll be sure to share the interest in this w/our team"
115947,@115940 What if you do like @115948 and @115888 and have a student discount,hulu_support,"@115947 You'll be glad to know that if you have a Spotify student account, you can get Hulu for free! https://t.co/dxpbd9X6kS. 🎶 💚 📺",What if you do like and and have a student discount,"You'll be glad to know that if you have a Spotify student account, you can get Hulu for free! 🎶 💚 📺","What if you do like and and have a student discount | You'll be glad to know that if you have a Spotify student account, you can get Hulu for free! 🎶 💚 📺"
115947,@115940 i am a college student why can’t i still use my Mom’s/family account while I’m away at college,hulu_support,@115947 Accounts are intended for a single household. We'll share your interest in being able to share across multiple in the future.,i am a college student why can’t i still use my Mom’s/family account while I’m away at college,Accounts are intended for a single household. We'll share your interest in being able to share across multiple in the future.,i am a college student why can’t i still use my Mom’s/family account while I’m away at college | Accounts are intended for a single household. We'll share your interest in being able to share across multiple in the future.
116165,"Hey @115940 your app has had a “loading error” for the two weeks, thought I’d let you know I’ve been paying for aggravation rather than tv",hulu_support,"@116165 Oh no! Does the error pop up at app launch or playback? What device is in use? For now, please try: https://t.co/HXpLyTU79x.","Hey your app has had a “loading error” for the two weeks, thought I’d let you know I’ve been paying for aggravation rather than tv","Oh no! Does the error pop up at app launch or playback? What device is in use? For now, please try:","Hey your app has had a “loading error” for the two weeks, thought I’d let you know I’ve been paying for aggravation rather than tv | Oh no! Does the error pop up at app launch or playback? What device is in use? For now, please try:"
116166,"@hulu_support Yes, @hulu_support same message: error playing this video, iPhone 7",hulu_support,"@116166 Please try uninstalling/reinstalling our iPhone app. If no change, contact us via phone/chat here: https://t.co/6YdK7bvQN7.","Yes, same message: error playing this video, iPhone 7","Please try uninstalling/reinstalling our iPhone app. If no change, contact us via phone/chat here:","Yes, same message: error playing this video, iPhone 7 | Please try uninstalling/reinstalling our iPhone app. If no change, contact us via phone/chat here:"
116166,"@hulu_support I'm getting an error when I try to play episodes. Can you help, please?",hulu_support,@116166 Still having trouble? Which device are you using? What error are you seeing? We want to help! 1st try: https://t.co/HXpLyTU79x,"I'm getting an error when I try to play episodes. Can you help, please?",Still having trouble? Which device are you using? What error are you seeing? We want to help! 1st try:,"I'm getting an error when I try to play episodes. Can you help, please? | Still having trouble? Which device are you using? What error are you seeing? We want to help! 1st try:"
116167,@hulu_support when will the other 2 major networks stream live on Hulu live?,hulu_support,"@116167 We do currently offer a 4 networks in many areas, but this will vary by ZIP. We can share the interest in the Durham-area.",when will the other 2 major networks stream live on Hulu live?,"We do currently offer a 4 networks in many areas, but this will vary by ZIP. We can share the interest in the Durham-area.","when will the other 2 major networks stream live on Hulu live? | We do currently offer a 4 networks in many areas, but this will vary by ZIP. We can share the interest in the Durham-area."
116436,When’s season 3 of Rick and Morty going to be on @115940?,hulu_support,"@116436 We don't have an ETA on those episodes just yet. If you're interested, you can see them with: https://t.co/O9QhZdLbxw. 💚",When’s season 3 of Rick and Morty going to be on ?,"We don't have an ETA on those episodes just yet. If you're interested, you can see them with: 💚","When’s season 3 of Rick and Morty going to be on ? | We don't have an ETA on those episodes just yet. If you're interested, you can see them with: 💚"
116438,@hulu_support why is the audio not syncing with the shows on my @116439,hulu_support,"@116438 Uh oh, that's not what we like to hear about! Does this continue for you after working through these: https://t.co/TR6ei0cnf1?",why is the audio not syncing with the shows on my,"Uh oh, that's not what we like to hear about! Does this continue for you after working through these:","why is the audio not syncing with the shows on my | Uh oh, that's not what we like to hear about! Does this continue for you after working through these:"
116440,I can't even find it on my phone wtf #hulu @115940 why don't your apps work the same.,hulu_support,"@116440 We haven't updated all devices to the new experience, so there are differences. Maybe this will help: https://t.co/J54lzfKQf4.",I can't even find it on my phone wtf why don't your apps work the same.,"We haven't updated all devices to the new experience, so there are differences. Maybe this will help:","I can't even find it on my phone wtf why don't your apps work the same. | We haven't updated all devices to the new experience, so there are differences. Maybe this will help:"
116441,@hulu_support you invited me back to Hulu for a free trial but still charged me . Why?  I want my money back.,hulu_support,"@116441 Thanks for tweeting us about this! So we can take a closer look with you, please give us a call or chat: https://t.co/6YdK7bvQN7",you invited me back to Hulu for a free trial but still charged me . Why? I want my money back.,"Thanks for tweeting us about this! So we can take a closer look with you, please give us a call or chat:","you invited me back to Hulu for a free trial but still charged me . Why? I want my money back. | Thanks for tweeting us about this! So we can take a closer look with you, please give us a call or chat:"
116442,"Hey @115940, get your act together and put the select profile option on smart TVs already. It's been months and people do share devices.",hulu_support,"@116442 Hey there! No news at this time, but we'll share the interest! For the most up-to-date info: https://t.co/IiQ57Rhob1.","Hey , get your act together and put the select profile option on smart TVs already. It's been months and people do share devices.","Hey there! No news at this time, but we'll share the interest! For the most up-to-date info:","Hey , get your act together and put the select profile option on smart TVs already. It's been months and people do share devices. | Hey there! No news at this time, but we'll share the interest! For the most up-to-date info:"
116443,@115940 where r the rest of my hero academia ?,hulu_support,@116443 Hey there! All 38 subtitled episodes of My Hero Academia are currently available. We have also have all of season 1 dubbed.,where r the rest of my hero academia ?,Hey there! All 38 subtitled episodes of My Hero Academia are currently available. We have also have all of season 1 dubbed.,where r the rest of my hero academia ? | Hey there! All 38 subtitled episodes of My Hero Academia are currently available. We have also have all of season 1 dubbed.
116444,@hulu_support Hi i was charged for a subscription and didn't sign up for it,hulu_support,@116444 Uh oh! We definitely want to look into this. Please give us a call at the phone number listed here: https://t.co/LkhXOWWq74.,Hi i was charged for a subscription and didn't sign up for it,Uh oh! We definitely want to look into this. Please give us a call at the phone number listed here:,Hi i was charged for a subscription and didn't sign up for it | Uh oh! We definitely want to look into this. Please give us a call at the phone number listed here:
116714,@hulu_support It was the last episode of season one. The final scene is incorrect. It’s from another episode.,hulu_support,"@116714 This is the version we're able to offer from the content provider, but we'll be sure to share your feedback!",It was the last episode of season one. The final scene is incorrect. It’s from another episode.,"This is the version we're able to offer from the content provider, but we'll be sure to share your feedback!","It was the last episode of season one. The final scene is incorrect. It’s from another episode. | This is the version we're able to offer from the content provider, but we'll be sure to share your feedback!"
116714,@hulu_support l’m watching episodes of Lost in Space and they are not complete. I compared them with ones on YouTube and parts are missing.,hulu_support,"@116714 Hi, Mike! We post content as received by the provider. If you let us know ep #'s and more details, we'd be happy to investigate.",l’m watching episodes of Lost in Space and they are not complete. I compared them with ones on YouTube and parts are missing.,"Hi, Mike! We post content as received by the provider. If you let us know ep #'s and more details, we'd be happy to investigate.","l’m watching episodes of Lost in Space and they are not complete. I compared them with ones on YouTube and parts are missing. | Hi, Mike! We post content as received by the provider. If you let us know ep #'s and more details, we'd be happy to investigate."
116966,@hulu_support #Blindspot season two only goes to ep17? Despite there being more eps but then s3e1 is up?,hulu_support,"@116966 Hey, Cheryl! Our team is aware of this and looking into making those 5 episodes available on all devices ASAP!",season two only goes to ep17? Despite there being more eps but then s3e1 is up?,"Hey, Cheryl! Our team is aware of this and looking into making those 5 episodes available on all devices ASAP!","season two only goes to ep17? Despite there being more eps but then s3e1 is up? | Hey, Cheryl! Our team is aware of this and looking into making those 5 episodes available on all devices ASAP!"
116968,@hulu_support I am using an iPhone 6s &amp; I tried the things that the troubleshooting tips suggest.,hulu_support,@116968 If you're still having trouble logging in after troubleshooting please contact us here for real-time help: https://t.co/6YdK7bvQN7,I am using an iPhone 6s &amp; I tried the things that the troubleshooting tips suggest.,If you're still having trouble logging in after troubleshooting please contact us here for real-time help:,I am using an iPhone 6s &amp; I tried the things that the troubleshooting tips suggest. | If you're still having trouble logging in after troubleshooting please contact us here for real-time help:
116968,"@hulu_support the Hulu app logged me out, &amp; when I try to log in, I get ""An error occurred. Please try again later"" &amp; I know the login",hulu_support,"@116968 Sorry for the delayed reply! If you're still running into trouble, let us know the device in use and try: https://t.co/HXpLyTU79x.","the Hulu app logged me out, &amp; when I try to log in, I get ""An error occurred. Please try again later"" &amp; I know the login","Sorry for the delayed reply! If you're still running into trouble, let us know the device in use and try:","the Hulu app logged me out, &amp; when I try to log in, I get ""An error occurred. Please try again later"" &amp; I know the login | Sorry for the delayed reply! If you're still running into trouble, let us know the device in use and try:"
116969,@hulu_support when will we see @174 season 4 on hulu,hulu_support,"@116969 Hi, AJ! We don't have a timeline, but keep the show in WL/My Stuff and stay tuned to: https://t.co/r9MCqHxrfq for updates.",when will we see season 4 on hulu,"Hi, AJ! We don't have a timeline, but keep the show in WL/My Stuff and stay tuned to: for updates.","when will we see season 4 on hulu | Hi, AJ! We don't have a timeline, but keep the show in WL/My Stuff and stay tuned to: for updates."
116970,"@hulu_support Yes dialogue is out of sync. Seinfeld, workaholic, as well as others. Blank pic with sound, pic with no sound. Using Apple TV disappointed 😔",hulu_support,@116970 That's no fun! We are happy to help. What generation of Apple TV do you use? Have you tried any troubleshooting steps?,"Yes dialogue is out of sync. Seinfeld, workaholic, as well as others. Blank pic with sound, pic with no sound. Using Apple TV disappointed 😔",That's no fun! We are happy to help. What generation of Apple TV do you use? Have you tried any troubleshooting steps?,"Yes dialogue is out of sync. Seinfeld, workaholic, as well as others. Blank pic with sound, pic with no sound. Using Apple TV disappointed 😔 | That's no fun! We are happy to help. What generation of Apple TV do you use? Have you tried any troubleshooting steps?"
116970,"@hulu_support Hi, your service is completely #unreliable. the stream freezes and the voices out of sync. #totallydisappointed #pleasefix",hulu_support,@116970 Yikes! Any specific show that's freezing and dialogue is out of sync? What device is in use? Try: https://t.co/HXpLyTU79x.,"Hi, your service is completely . the stream freezes and the voices out of sync.",Yikes! Any specific show that's freezing and dialogue is out of sync? What device is in use? Try:,"Hi, your service is completely . the stream freezes and the voices out of sync. | Yikes! Any specific show that's freezing and dialogue is out of sync? What device is in use? Try:"
117289,"Dear @115940:

Your new update sucks. It’s insanely hard to navigate. Can I downgrade please?

Yours,
American Hulu watchers

#hulu #update",hulu_support,"@117289 Sorry! There isn't a way to roll back, but we're working on making changes. For help navigating: https://t.co/zS2PPOcsyE.","Dear : Your new update sucks. It’s insanely hard to navigate. Can I downgrade please? Yours, American Hulu watchers","Sorry! There isn't a way to roll back, but we're working on making changes. For help navigating:","Dear : Your new update sucks. It’s insanely hard to navigate. Can I downgrade please? Yours, American Hulu watchers | Sorry! There isn't a way to roll back, but we're working on making changes. For help navigating:"
117290,"@hulu_support We use it through our Roku, and it happens on every show unfortunately. Also happens even if you just cause or rewind and then continue.",hulu_support,"@117290 Hm, they should definitely resume if already enabled. When they disappear, does your Roku's CC settings toggle off too? 1/2","We use it through our Roku, and it happens on every show unfortunately. Also happens even if you just cause or rewind and then continue.","Hm, they should definitely resume if already enabled. When they disappear, does your Roku's CC settings toggle off too? 1/2","We use it through our Roku, and it happens on every show unfortunately. Also happens even if you just cause or rewind and then continue. | Hm, they should definitely resume if already enabled. When they disappear, does your Roku's CC settings toggle off too? 1/2"
117290,"@115940 Can you guys maybe like....FIX your stuff? For the longest time now, if you have the captions on, it only lasts for one episode. Wtf",hulu_support,@117290 Uh oh! Captions should stay on. On what device is this happening? Any specific show that's affected? We're here to help.,"Can you guys maybe like....FIX your stuff? For the longest time now, if you have the captions on, it only lasts for one episode. Wtf",Uh oh! Captions should stay on. On what device is this happening? Any specific show that's affected? We're here to help.,"Can you guys maybe like....FIX your stuff? For the longest time now, if you have the captions on, it only lasts for one episode. Wtf | Uh oh! Captions should stay on. On what device is this happening? Any specific show that's affected? We're here to help."
117291,"@115940 when will the platform available in latinamerica, more specifically in Argentina?",hulu_support,"@117291 Hulu is only available in the U.S. right now, but we'll be sure to share the interest in offering our service in Argentina! 🇦🇷","when will the platform available in latinamerica, more specifically in Argentina?","Hulu is only available in the U.S. right now, but we'll be sure to share the interest in offering our service in Argentina! 🇦🇷","when will the platform available in latinamerica, more specifically in Argentina? | Hulu is only available in the U.S. right now, but we'll be sure to share the interest in offering our service in Argentina! 🇦🇷"
117292,@hulu_support Too much to detail; just go look at Netflix. UI is NO PLACE to “innovate” any longer. Just get on board with 20+ yrs of evolution 😶,hulu_support,@117292 Got it. We'll be sure to share your feedback as improvements continue to be made based on viewer input like yours!,Too much to detail; just go look at Netflix. UI is NO PLACE to “innovate” any longer. Just get on board with 20+ yrs of evolution 😶,Got it. We'll be sure to share your feedback as improvements continue to be made based on viewer input like yours!,Too much to detail; just go look at Netflix. UI is NO PLACE to “innovate” any longer. Just get on board with 20+ yrs of evolution 😶 | Got it. We'll be sure to share your feedback as improvements continue to be made based on viewer input like yours!
117292,@hulu_support Did u fire the UI team behind the Roku app re-do yet? I want to rip my eyes out every time I’m forced to use it 😖 #garbage,hulu_support,"@117292 We're sorry to hear this, Tim! Is there anything in particular about the new app that you find frustrating? We're here to help.",Did u fire the UI team behind the Roku app re-do yet? I want to rip my eyes out every time I’m forced to use it 😖,"We're sorry to hear this, Tim! Is there anything in particular about the new app that you find frustrating? We're here to help.","Did u fire the UI team behind the Roku app re-do yet? I want to rip my eyes out every time I’m forced to use it 😖 | We're sorry to hear this, Tim! Is there anything in particular about the new app that you find frustrating? We're here to help."
117293,@hulu_support Got an email saying my password was changed Bt I did not change it asked to reset it still have not gotten the email to reset,hulu_support,"@117293 Yikes! Try resetting your password here: https://t.co/LkhXOWWq74. If no luck, call us from the number on the same page.",Got an email saying my password was changed Bt I did not change it asked to reset it still have not gotten the email to reset,"Yikes! Try resetting your password here: If no luck, call us from the number on the same page.","Got an email saying my password was changed Bt I did not change it asked to reset it still have not gotten the email to reset | Yikes! Try resetting your password here: If no luck, call us from the number on the same page."
117294,@hulu_support Ummm well I'm not Ray so not convinced.,hulu_support,@117294 Sorry for the mixup! We'll be sure to share your feedback about the long wait time. Let us know if you have further questions.,Ummm well I'm not Ray so not convinced.,Sorry for the mixup! We'll be sure to share your feedback about the long wait time. Let us know if you have further questions.,Ummm well I'm not Ray so not convinced. | Sorry for the mixup! We'll be sure to share your feedback about the long wait time. Let us know if you have further questions.
117294,"@hulu_support Has been this way for months.  Doesn't that tell you how much we hate the ""new experience?""  Can't even get a live person - twitter bot",hulu_support,"@117294 We assure you there are no bots here, Ray. We're also working on changes to address hold times. We appreciate your patience!","Has been this way for months. Doesn't that tell you how much we hate the ""new experience?"" Can't even get a live person - twitter bot","We assure you there are no bots here, Ray. We're also working on changes to address hold times. We appreciate your patience!","Has been this way for months. Doesn't that tell you how much we hate the ""new experience?"" Can't even get a live person - twitter bot | We assure you there are no bots here, Ray. We're also working on changes to address hold times. We appreciate your patience!"
117294,"@hulu_support @117295 You do realize chat and talk require hours long waits???? I've been on hold to ""chat"" for 78 minutes",hulu_support,@117294 Sorry for the long wait time! Our team is working to get to each and every one of our users ASAP. We appreciate your patience.,"You do realize chat and talk require hours long waits???? I've been on hold to ""chat"" for 78 minutes",Sorry for the long wait time! Our team is working to get to each and every one of our users ASAP. We appreciate your patience.,"You do realize chat and talk require hours long waits???? I've been on hold to ""chat"" for 78 minutes | Sorry for the long wait time! Our team is working to get to each and every one of our users ASAP. We appreciate your patience."
117295,"@hulu_support Tried everything..nothing worked ...logged into Fox, which worked  for a while but cost me off in the 8th inning... rip off",hulu_support,"@117295 Apologies for this experience, Ray! When possible, please call us/chat so we can take a closer look: https://t.co/6YdK7bvQN7.","Tried everything..nothing worked ...logged into Fox, which worked for a while but cost me off in the 8th inning... rip off","Apologies for this experience, Ray! When possible, please call us/chat so we can take a closer look:","Tried everything..nothing worked ...logged into Fox, which worked for a while but cost me off in the 8th inning... rip off | Apologies for this experience, Ray! When possible, please call us/chat so we can take a closer look:"
117295,@hulu_support This is absolutely pathetic... big part of my motivation for signing up was the opportunity for World Series. Sorry I bothered,hulu_support,"@117295 Sorry! We looked into this issue and sent out a fix. If rebooting doesn't help, please reach out here: https://t.co/6YdK7bvQN7.",This is absolutely pathetic... big part of my motivation for signing up was the opportunity for World Series. Sorry I bothered,"Sorry! We looked into this issue and sent out a fix. If rebooting doesn't help, please reach out here:","This is absolutely pathetic... big part of my motivation for signing up was the opportunity for World Series. Sorry I bothered | Sorry! We looked into this issue and sent out a fix. If rebooting doesn't help, please reach out here:"
117580,@115940 I absolute hate your streaming service. It literally never works when you want to watch something. Such a waste.,hulu_support,"@117580 Sorry, Peter! What behavior do you experience during playback? What device do you use? These tips: https://t.co/HXpLyTU79x may help.",I absolute hate your streaming service. It literally never works when you want to watch something. Such a waste.,"Sorry, Peter! What behavior do you experience during playback? What device do you use? These tips: may help.","I absolute hate your streaming service. It literally never works when you want to watch something. Such a waste. | Sorry, Peter! What behavior do you experience during playback? What device do you use? These tips: may help."
