customer_author,customer_text,company_author,company_reply,customer_clean,company_clean,thread_text
115854,@AppleSupport The newest update. I️ made sure to download it yesterday.,AppleSupport,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,The newest update. I️ made sure to download it yesterday.,Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there.,The newest update. I️ made sure to download it yesterday. | Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there.
115855,@AppleSupport Tried resetting my settings .. restarting my phone .. all that,AppleSupport,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT,Tried resetting my settings .. restarting my phone .. all that,Let's go to DM for the next steps. DM us here:,Tried resetting my settings .. restarting my phone .. all that | Let's go to DM for the next steps. DM us here:
115855,@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,AppleSupport,@115855 Any steps tried since it started last night?,This is what it looks like,Any steps tried since it started last night?,This is what it looks like | Any steps tried since it started last night?
115855,@AppleSupport I️ have an iPhone 7 Plus and yes I️ do,AppleSupport,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,I️ have an iPhone 7 Plus and yes I️ do,That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,I️ have an iPhone 7 Plus and yes I️ do | That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?
115855,@AppleSupport I️ need answers because it’s annoying 🙃,AppleSupport,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,I️ need answers because it’s annoying 🙃,We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,I️ need answers because it’s annoying 🙃 | We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?
115856,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?",AppleSupport,"@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT","Hey and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there.","Hey and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”? | Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there."
115857,@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT,AppleSupport,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,This is what is happening...,We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there.,This is what is happening... | We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there.
115857,Tf is wrong with my keyboard @115858,AppleSupport,"@115857 Fill us in on what is happening, then we can help out from there.",Tf is wrong with my keyboard,"Fill us in on what is happening, then we can help out from there.","Tf is wrong with my keyboard | Fill us in on what is happening, then we can help out from there."
115859,@AppleSupport are the call centres closed for the night?,AppleSupport,@115859 We've received your DM and will continue there.,are the call centres closed for the night?,We've received your DM and will continue there.,are the call centres closed for the night? | We've received your DM and will continue there.
115859,@115858 @AppleSupport hello are all the lines closed for tonight #help,AppleSupport,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,hello are all the lines closed for tonight,What's going on? We're hapy to help if we can.,hello are all the lines closed for tonight | What's going on? We're hapy to help if we can.
115860,@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,AppleSupport,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",I️ upgraded. I️t didn’t work.,"Reach out to us via DM, and we can take a look at this with you.","I️ upgraded. I️t didn’t work. | Reach out to us via DM, and we can take a look at this with you."
115861,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7",AppleSupport,"@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT","Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also","You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM:","Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also | You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM:"
115863,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,AppleSupport,@115863 Go ahead and send us a DM please. Let us know the country you're in.,I’ve got a screenshot saying my is reserved for the 3rd then an email saying it’s the 18th... what happened?,Go ahead and send us a DM please. Let us know the country you're in.,I’ve got a screenshot saying my is reserved for the 3rd then an email saying it’s the 18th... what happened? | Go ahead and send us a DM please. Let us know the country you're in.
