customer_author,customer_text,company_author,company_reply,customer_clean,company_clean,thread_text
115719,"@VerizonSupport I finally got someone that helped me, thanks!",VerizonSupport,"@115719 Awesome! If you ever need us we are just a tweet away.
^HSB","I finally got someone that helped me, thanks!",Awesome! If you ever need us we are just a tweet away. ^HSB,"I finally got someone that helped me, thanks! | Awesome! If you ever need us we are just a tweet away. ^HSB"
115719,somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service,VerizonSupport,"@115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB",somebody from please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service,Help has arrived! We are sorry to see that you are having trouble. How can we help? ^HSB,somebody from please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service | Help has arrived! We are sorry to see that you are having trouble. How can we help? ^HSB
115720,@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz,VerizonSupport,"@115720 Have your friend message us.
^ACM",My friend is without internet we need to play videogames together please our skills diminish every moment without internetz,Have your friend message us. ^ACM,My friend is without internet we need to play videogames together please our skills diminish every moment without internetz | Have your friend message us. ^ACM
115721,@VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...,VerizonSupport,"@115721 We would not be able to verify anything without authenticating your account.
^JAY",What else can I provide? They refuse to help me because they cannot validate the account...,We would not be able to verify anything without authenticating your account. ^JAY,What else can I provide? They refuse to help me because they cannot validate the account... | We would not be able to verify anything without authenticating your account. ^JAY
115721,"@VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?",VerizonSupport,"@115721 We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. 
^HSB","How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?",We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. ^HSB,"How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me? | We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. ^HSB"
115721,@115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk,VerizonSupport,"@115721 Please follow and DM us so that we can look into this order. 
^HSB",MD. And this was sent to the wrong address,Please follow and DM us so that we can look into this order. ^HSB,MD. And this was sent to the wrong address | Please follow and DM us so that we can look into this order. ^HSB
115723,"@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet",VerizonSupport,"@115723 Is the light on top red?
^JAY","Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet",Is the light on top red? ^JAY,"Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet | Is the light on top red? ^JAY"
115723,@VerizonSupport Just randomly boots me offline there it goes again,VerizonSupport,"@115723 Did the lights change on the router when this happened?
^JAY",Just randomly boots me offline there it goes again,Did the lights change on the router when this happened? ^JAY,Just randomly boots me offline there it goes again | Did the lights change on the router when this happened? ^JAY
115723,@VerizonSupport Cuts out every 20 minutes this is ridiculous,VerizonSupport,"@115723 Are all your services cutting out?
^ACM",Cuts out every 20 minutes this is ridiculous,Are all your services cutting out? ^ACM,Cuts out every 20 minutes this is ridiculous | Are all your services cutting out? ^ACM
115723,@115722 is the worst ISP I’ve ever had,VerizonSupport,@115723 What did we do to make you feel this way and how can we fix things between us? ^KMG,is the worst ISP I’ve ever had,What did we do to make you feel this way and how can we fix things between us? ^KMG,is the worst ISP I’ve ever had | What did we do to make you feel this way and how can we fix things between us? ^KMG
