id,type,text,reply
T001,refund,"I returned my order (order #112-4857291-3847562) on 12 March using the prepaid label. The tracking shows it was delivered to the warehouse on 15 March. It is now 28 March and I still have not received my refund of £67.99. Please advise.","Thank you for contacting us. We can see the return was received. Your refund of £67.99 has been processed and should appear in your account within 3-5 business days. We apologise for the delay."
T002,wrong_item,"I ordered the Sony WH-1000XM5 headphones in black (ASIN: B09XS7JWHH) and received a completely different product — a cheap unbranded set with no documentation. The packaging was Amazon branded but the item inside was not what I ordered. I need a replacement urgently.","We're very sorry about this. This appears to be a fulfilment error. We've arranged for a free return and a replacement order has been placed with priority delivery. You'll receive a confirmation email within the hour."
T003,seller_unresponsive,"I purchased a phone case from seller 'TechGadgetsUK' 3 weeks ago. The item never arrived. Tracking shows it's been stuck at a sorting facility for 10 days. I've messaged the seller twice with no response. Order total was £18.50. What are my options?","We've investigated and can confirm the item is lost in transit. Since the seller has not responded within our required timeframe, we've refunded your £18.50 in full under the Amazon A-to-Z Guarantee. The refund will appear within 5 business days."
T004,subscription_charge,"I cancelled my Prime membership on 3 February but was charged £8.99 on 1 March. I have a screenshot of the cancellation confirmation. Please refund this charge immediately.","We've verified your cancellation and confirmed the charge was made in error. A full refund of £8.99 has been issued. We apologise for the inconvenience. Please allow 3-5 days for it to appear on your statement."
T005,counterfeit,"I bought what I thought was a genuine Oral-B electric toothbrush. When I compared it to one I already own, the quality is clearly different — the motor is weaker, the charging connection is different, and there's no Oral-B serial number. I believe this is a counterfeit product. Seller: 'HealthStoreEU'.","Thank you for flagging this. We take counterfeit reports very seriously. We've escalated this to our Counterfeit Crimes Unit and suspended the seller listing pending investigation. We've issued a full refund and you may keep or dispose of the item. We'll follow up within 7 business days."
T006,delivery_damage,"My parcel arrived today completely crushed. The box was taped over with Amazon tape suggesting it was repackaged at some point. The item inside (a glass picture frame) is broken. I'd like a replacement, not a refund.","We're sorry about the damaged delivery. A replacement has been dispatched with next-day delivery at no charge. No need to return the damaged item. Please dispose of the broken glass safely."
T007,account_access,"I can't log in to my account. I changed my email address last week and now I'm not receiving the verification code on either the old or new email. I've tried resetting my password but keep hitting the same verification loop.","We've verified your identity via the information you provided. Your account has been manually verified and access restored. You'll receive a confirmation email shortly. For security, we recommend setting up two-factor authentication once logged in."
T008,review_removed,"My review of a product I purchased was removed without explanation. I wrote a detailed honest review — 2 stars — explaining exactly what was wrong with the product. I did not violate any guidelines. Why was it removed?","Thank you for reaching out. After reviewing your case, we've identified that your review was removed in error by our automated content moderation system. We've restored it. We apologise for the frustration this caused."
T009,business_invoice,"We are a VAT-registered company and need proper VAT invoices for all purchases made through our Amazon Business account. In the last month, 4 of our orders show only a receipt rather than a full VAT invoice. We need these for our quarterly accounts.","Thank you for contacting Amazon Business support. VAT invoices are generated automatically for eligible orders. For the 4 orders in question, we've confirmed a configuration issue on the seller side. We've requested corrected invoices and will email them to your account within 48 hours."
T010,feature_request,"Can you please add a filter option to search results that allows me to show ONLY items sold and fulfilled directly by Amazon? Not third-party sellers, not Amazon Warehouse — only new items sold by Amazon itself. I can't find a reliable way to do this currently.","Thank you for your feedback. You can currently filter by 'Ships from Amazon' in the filter panel on the left, but we acknowledge this doesn't always produce the precise results you're looking for. We've logged your request as a feature suggestion for our product team."
