customer_author,customer_text,company_author,company_reply,customer_clean,company_clean,thread_text
115820,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",AmazonHelp,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",We'd like to take a further look into this with you! Please reach us by phone or chat here: ^AG,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day | We'd like to take a further look into this with you! Please reach us by phone or chat here: ^AG"
115820,Way to drop the ball on customer service @115821 so pissed right now!,AmazonHelp,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Way to drop the ball on customer service so pissed right now!,"I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN","Way to drop the ball on customer service so pissed right now! | I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN"
115822,@115823 I want my amazon payments account CLOSED.  dm me please.,AmazonHelp,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",I want my amazon payments account CLOSED. dm me please.,"I am unable to affect your account via Twitter. For real time support, phone or chat use this link: ^CH","I want my amazon payments account CLOSED. dm me please. | I am unable to affect your account via Twitter. For real time support, phone or chat use this link: ^CH"
115824,"@AmazonHelp Okay, danke für die Info",AmazonHelp,@115824 Wir haben zu danken. Schönen Abend noch. ^JS,"Okay, danke für die Info",Wir haben zu danken. Schönen Abend noch. ^JS,"Okay, danke für die Info | Wir haben zu danken. Schönen Abend noch. ^JS"
115824,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?",AmazonHelp,"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS","also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS","also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's? | Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS"
115827,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,AmazonHelp,@115827 Thanks for your patience. ^KM,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Thanks for your patience. ^KM,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August | Thanks for your patience. ^KM
115826,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,AmazonHelp,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away | I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ
115829,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",AmazonHelp,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,I'm sorry your order arrived in this condition! Please reach out to us for available options: ^DG,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!! | I'm sorry your order arrived in this condition! Please reach out to us for available options: ^DG
115831,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,AmazonHelp,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: ^SH,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡 | I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: ^SH
115832,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",AmazonHelp,@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,"Thanks for the style advice, look ...I think?",Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,"Thanks for the style advice, look ...I think? | Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE"
