id,type,text,reply
TKT-001,how-to,"Hi — I just invited 8 people to my project and I'm not sure they know what to do next. Is there anything Asana sends them to help them get started? I don't want to have to walk each person through it manually.","Hi! When you invite someone to a project, they receive an email with a link to join. Once they accept, they'll land on the project directly. Asana doesn't send a guided tour to new members by default, but you can share this getting-started guide with your team: [link]. You can also send a message from within Asana by using the Message button in the project header. Let us know if you have other questions!"
TKT-002,bug,"My recurring task keeps appearing on the wrong day. I set it to recur weekly but it's showing up on Thursday instead of Monday. I've re-set it twice and it keeps doing this.","Thanks for reaching out! This is a known behavior — recurring tasks in Asana recur from the date they were completed, not from a fixed day of the week. So if the task was completed on a Thursday, the next instance appears the following Thursday. To get a Monday recurrence, you'd need to complete the task on a Monday (or adjust the due date on the newly created instance before completing it). We understand this is confusing and have passed this feedback to our product team. Apologies for the friction!"
TKT-003,how-to,"How do I see all tasks that are overdue across all my projects at once? I've looked everywhere and can only see overdue tasks one project at a time.","Great question — you can do this with Advanced Search! Click the magnifying glass in the top bar, then click 'Advanced Search.' Set the filters: Due date = on or before today, Completion = Incomplete, and leave Assignee as 'Any.' This will return all overdue tasks across your workspace. You can also save this search for quick access in the future by clicking 'Save search' after running it."
TKT-004,feature-request,"Can you add a way for project admins to set default notification preferences for team members? Every time I add someone to a project they end up with all notifications on and then they mute everything because it's too much. I want to be able to set something reasonable as the default so new members don't immediately get overwhelmed.","Thank you for this suggestion! Default notification settings per project is not currently available, but it's a request we hear often. I've logged this as a feature request with your details attached. In the meantime, you can share our guide on managing notification preferences with new teammates so they can configure them right after joining. We appreciate you taking the time to write in!"
TKT-005,how-to,"What's the difference between 'Private' and 'Comment-only' access when I invite someone to a project? The descriptions are confusing.","Happy to clarify! 'Private' refers to the visibility of the project itself — a private project is only visible to members who have been explicitly invited; it won't show up for anyone else in your organization. 'Comment-only' is a permission level for individual members — it means the person can view tasks and leave comments, but cannot create, edit, or delete tasks. You can use both together: a private project where some members have comment-only access."
TKT-006,bug,"I duplicated a project to use it as a template for a new project but the copy brought over all the completed tasks. I only wanted the incomplete tasks and the structure. Is there a setting I missed?","When you duplicate a project in Asana, there is an option to choose what gets copied — tasks, members, and task assignments. However, filtering by completion status (i.e., only copying incomplete tasks) is not currently an option in the duplication flow. The workaround is to duplicate the project, then manually delete the completed tasks in the copy, or to convert your project into a proper Template (available on Premium and above) which gives you more control over what's included. Sorry for the inconvenience!"
TKT-007,complaint,"I've submitted two feature requests in the past year and both times I get the same copy-paste response saying you've 'logged my feedback.' Is there any way to actually track the status of feature requests? I have no idea if anything is being considered.","I completely understand the frustration, and I want to be transparent with you: we don't currently have a public roadmap where individual feature requests are tracked and visible to users. Your feedback does go to our product team and they review high-volume requests when prioritizing. I know that's not the visibility you're looking for. If you're interested in participating in our product research panel (where we actually interview customers about upcoming features), I can add you to the list. Would that help?"
TKT-008,how-to,"Is there a way to assign a task to multiple people? I have a task that two people are responsible for and I can't figure out how to give it to both of them.","Asana tasks can only have one assignee at a time — this is intentional, as the single-owner model is meant to establish clear accountability. For tasks where multiple people are involved, the recommended approach is to: (1) assign the task to the primary owner, and (2) add the other person as a collaborator (click 'Add followers' in the task detail). Collaborators get notified of activity on the task but aren't listed as assignees. Alternatively, you can duplicate the task for each person. We know this isn't always ideal and appreciate your patience!"
TKT-009,how-to,"Hi, I'm the IT admin at our company. We just rolled out Asana to 200 users. Is there a way to pre-configure Asana settings for all users (like default notification preferences, default project view, etc.) before they log in for the first time? We're trying to reduce the support burden during rollout.","Welcome to Asana! For enterprise deployments, some admin-level controls are available through the Admin Console, including SAML SSO, domain claiming, and member management. However, pre-configuring individual user preferences (like notification settings or default views) at the admin level is not currently supported. Each user's preferences are personal and must be set by the user. Our Enterprise Success team can work with you on a rollout playbook to help guide users through setup — I'd recommend reaching out to your account executive about that resource."
TKT-010,bug,"When I'm in a Board view, tasks I complete disappear from the board immediately. This is confusing because I can't see what I just marked done. It feels like the task got deleted. Can I make completed tasks stay visible on the board?","This is expected behavior — when a task is marked complete in Board view, it moves out of the active column. It hasn't been deleted; you can find it by enabling 'Show completed tasks' in the View settings (click 'View' at the top right of the project, then toggle 'Completed tasks'). We understand this can be disorienting at first and have passed your feedback to the team about making this behavior clearer during initial setup."
TKT-011,feature-request,"Please add the ability to see task count and completion percentage directly on the project card in the sidebar. When I have 8 projects in my sidebar I have no quick way to assess which ones are behind. I have to click into each one.","Thank you — this is a great idea and you're not the first to request it. A progress indicator on the sidebar or project list view is something our team has explored. I've added your vote to this request. In the meantime, the Portfolios feature shows completion percentage across projects in a single view — if you're not already using it, it might partially solve this problem. Happy to send you instructions for setting it up!"
