customer_author,customer_text,company_author,company_reply,customer_clean,company_clean,thread_text
115898,.@comcastcares tired of getting charged for equipment that was returned months ago. Please stop it.,comcastcares,@115898 I definitely want to make sure your charges are correct. Please DM me your address and phone# so I can better assist. -SLM,. tired of getting charged for equipment that was returned months ago. Please stop it.,I definitely want to make sure your charges are correct. Please DM me your address and phone# so I can better assist. -SLM,. tired of getting charged for equipment that was returned months ago. Please stop it. | I definitely want to make sure your charges are correct. Please DM me your address and phone# so I can better assist. -SLM
115899,@115900 hi I got some odd text alert from you I don't have your service why would I get alerts,comcastcares,"@115899 address, and phone number so I can assist further with this issue. Thanks! -KW",hi I got some odd text alert from you I don't have your service why would I get alerts,"address, and phone number so I can assist further with this issue. Thanks! -KW","hi I got some odd text alert from you I don't have your service why would I get alerts | address, and phone number so I can assist further with this issue. Thanks! -KW"
115901,@comcastcares Phoenix Suns are on auto record. NBA Team Channel 752 trying to record tonight. I only want regular broadcast games recorded like TiVo does.,comcastcares,@115901 If you set a recording for a sports team it will try to record it on any available network. - Matt,Phoenix Suns are on auto record. NBA Team Channel 752 trying to record tonight. I only want regular broadcast games recorded like TiVo does.,If you set a recording for a sports team it will try to record it on any available network. - Matt,Phoenix Suns are on auto record. NBA Team Channel 752 trying to record tonight. I only want regular broadcast games recorded like TiVo does. | If you set a recording for a sports team it will try to record it on any available network. - Matt
115901,"@comcastcares Thanks for your reply but that's why I said Update your Software. If  @115902 knows not to record on an unavailable channel, it's software.",comcastcares,@115901 We can certainly share your feedback moving forward as we're always looking to improve the customer experience. -DSC,"Thanks for your reply but that's why I said Update your Software. If knows not to record on an unavailable channel, it's software.",We can certainly share your feedback moving forward as we're always looking to improve the customer experience. -DSC,"Thanks for your reply but that's why I said Update your Software. If knows not to record on an unavailable channel, it's software. | We can certainly share your feedback moving forward as we're always looking to improve the customer experience. -DSC"
115901,Why does @115900 record programs on my DVR from channels I don't subscribe to? Blank recordings. I don't have NBA LP! #UpgradeYourSoftware! https://t.co/0ir2a2rSt1,comcastcares,"@115901 Hello, have you checked your scheduled menu? You may have a series recording scheduled. - Matt",Why does record programs on my DVR from channels I don't subscribe to? Blank recordings. I don't have NBA LP! !,"Hello, have you checked your scheduled menu? You may have a series recording scheduled. - Matt","Why does record programs on my DVR from channels I don't subscribe to? Blank recordings. I don't have NBA LP! ! | Hello, have you checked your scheduled menu? You may have a series recording scheduled. - Matt"
115903,wow when you want to watch the world series and @115900  decides to have an outage!!!!,comcastcares,@115903 and send us a Direct Message with your account information so that I can see what's going on. –XG,wow when you want to watch the world series and decides to have an outage!!!!,and send us a Direct Message with your account information so that I can see what's going on. –XG,wow when you want to watch the world series and decides to have an outage!!!! | and send us a Direct Message with your account information so that I can see what's going on. –XG
116135,Obvious PSA: @116136 is evil. Thanks for tuning in!,comcastcares,"@116135 Hello, I'm sorry to see that you fee this way and I'm happy to help! Can you please DM the full address? ~AT",Obvious PSA: is evil. Thanks for tuning in!,"Hello, I'm sorry to see that you fee this way and I'm happy to help! Can you please DM the full address? ~AT","Obvious PSA: is evil. Thanks for tuning in! | Hello, I'm sorry to see that you fee this way and I'm happy to help! Can you please DM the full address? ~AT"
116137,@comcastcares Neither SD or HD for NBC or ABC can be seen. An error message says 03059. Rebooting didn’t help.,comcastcares,"@116137 My apologies about that, please send us a Direct Message  so we can look into that for you. -DP",Neither SD or HD for NBC or ABC can be seen. An error message says 03059. Rebooting didn’t help.,"My apologies about that, please send us a Direct Message so we can look into that for you. -DP","Neither SD or HD for NBC or ABC can be seen. An error message says 03059. Rebooting didn’t help. | My apologies about that, please send us a Direct Message so we can look into that for you. -DP"
116137,Is this a trick? No NBC WPTV or ABC WPBF in PSL @115900 this afternoon! Why these 2 channels?,comcastcares,"@116137 Hello, I will be happy to help you. Please DM so we can further assist you, thank you. -DP",Is this a trick? No NBC WPTV or ABC WPBF in PSL this afternoon! Why these 2 channels?,"Hello, I will be happy to help you. Please DM so we can further assist you, thank you. -DP","Is this a trick? No NBC WPTV or ABC WPBF in PSL this afternoon! Why these 2 channels? | Hello, I will be happy to help you. Please DM so we can further assist you, thank you. -DP"
116138,@116136 like lucky i’m home but what the fuck,comcastcares,"@116138 Hello, let me look into that for you. Please DM your account information so we can research this further, thank you. -DP",like lucky i’m home but what the fuck,"Hello, let me look into that for you. Please DM your account information so we can research this further, thank you. -DP","like lucky i’m home but what the fuck | Hello, let me look into that for you. Please DM your account information so we can research this further, thank you. -DP"
116139,"@ComcastCares
 I just opened an account with xfinity and needed the modem. Will it be shipped to my house or do I have to pick it up?",comcastcares,"@116139 Hello, thanks for reaching out about your new service concerns and I'm happy to help. Can you please DM the full address? ~AT",I just opened an account with xfinity and needed the modem. Will it be shipped to my house or do I have to pick it up?,"Hello, thanks for reaching out about your new service concerns and I'm happy to help. Can you please DM the full address? ~AT","I just opened an account with xfinity and needed the modem. Will it be shipped to my house or do I have to pick it up? | Hello, thanks for reaching out about your new service concerns and I'm happy to help. Can you please DM the full address? ~AT"
116140,"@comcastcares I've called 5 times, no resolution, bill for a house i don't live in still remains, and you all give me the run around to cancel my account",comcastcares,"@116140 I promise we don't you to feel that way. Please, DM me the information requested above so I can help you with this.-JC","I've called 5 times, no resolution, bill for a house i don't live in still remains, and you all give me the run around to cancel my account","I promise we don't you to feel that way. Please, DM me the information requested above so I can help you with this.-JC","I've called 5 times, no resolution, bill for a house i don't live in still remains, and you all give me the run around to cancel my account | I promise we don't you to feel that way. Please, DM me the information requested above so I can help you with this.-JC"
